Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Food storage material (product.metafields.shopify.food-storage-material),Shape (product.metafields.shopify.shape),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,7'' Santoku Knife,,,,,,,,B094N5D3Q7,0.0,,deny,manual,33.95,,true,true,B094N5D3Q7,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/61KABoa5OGL.jpg?v=1733698395,5,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/61KABoa5OGL.jpg?v=1733698395,lb,,33.95,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,8'' Bread Knife,,,,,,,,B0BW5FCV5D,0.0,,deny,manual,28.95,,true,true,B0BW5FCV5D,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/61BnzHgFElL.jpg?v=1733698395,6,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/61BnzHgFElL.jpg?v=1733698395,lb,,28.95,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,8'' Chef Knife,,,,,,,,B07ZCTSHL3,0.0,,deny,manual,31.95,,true,true,B07ZCTSHL3,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/61Qm6LuQ1pL.jpg?v=1733698395,7,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/61Qm6LuQ1pL.jpg?v=1733698395,lb,,31.95,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,7.5'' Chinese Cleaver,,,,,,,,B085DGDB5V,0.0,,deny,manual,22.96,,true,true,B085DGDB5V,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/618_oEkhu7L.jpg?v=1733698395,8,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/618_oEkhu7L.jpg?v=1733698395,lb,,22.96,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/71nH31H8dQL.jpg?v=1733698395,9,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/714K4Jrf6cL.jpg?v=1733698395,10,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/81mxrBHJ3dL.jpg?v=1733698395,11,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/81DnOGjXm-L.jpg?v=1733698396,12,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/917bhfmPfpL.jpg?v=1733698396,13,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linoroso-paring-knife-3-5-inch-small-kitchen-knife-with-elegant-gift-box-sharp-forged-german-carbon-stainless-steel-fruit-knife-full-tang-ergonomic-handle-classic-series,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0291/3835/4275/files/61eOdpoCZJL.jpg?v=1733698396,14,"linoroso Paring Knife 3.5 inch Small Kitchen Knife with Elegant Gift Box, Sharp Forged German Carbon Stainless Steel Fruit Knife, Full Tang, Ergonomic Handle-Classic Series - Linoroso ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
